N1;N2;N3;N4;N5;E1;E2;HasWin
3;27;29;4;37;6;5;1
49;22;19;15;46;9;2;1
24;1;34;4;36;8;6;1
9;25;1;40;23;3;9;1
48;20;45;21;12;6;5;1
5;35;44;15;24;6;5;1
28;2;40;23;43;6;2;1
41;42;34;13;9;7;3;1
37;39;29;15;49;4;9;1
32;3;1;39;21;2;6;1
23;19;10;1;4;2;8;1
39;37;4;7;33;5;1;1
32;16;29;41;36;9;7;1
41;16;36;42;15;5;3;1
10;19;11;23;20;6;1;1
26;44;21;13;2;3;9;1
11;50;48;6;47;1;6;1
19;38;12;13;21;3;9;1
50;3;19;49;26;5;4;1
28;6;47;7;13;8;5;1
13;10;24;47;3;9;5;1
31;50;25;11;7;3;1;1
32;46;20;21;26;8;9;1
11;13;25;32;50;7;4;1
11;14;29;6;19;3;1;1
14;9;6;13;35;3;4;1
20;11;43;9;38;2;3;1
35;37;9;42;23;3;7;1
47;36;17;16;18;1;2;1
16;37;8;41;4;2;5;1
8;5;40;25;17;5;1;1
36;12;33;22;32;2;6;1
36;30;14;27;21;2;3;1
13;11;44;24;49;9;3;1
3;50;44;4;8;8;7;1
10;34;47;19;45;6;3;1
2;32;38;41;25;5;3;1
5;35;11;22;38;7;8;1
1;3;24;6;18;5;8;1
30;45;49;29;10;8;3;1
10;49;26;6;16;7;9;1
12;10;32;33;1;8;1;1
25;50;7;45;3;9;6;1
47;10;28;48;40;8;6;1
37;40;50;12;39;1;2;1
47;31;46;28;27;5;2;1
26;15;32;14;1;7;3;1
3;43;29;8;12;6;7;1
50;4;38;2;9;8;6;1
1;31;7;17;36;8;2;1
35;9;7;43;18;7;5;1
16;6;15;40;43;1;2;1
44;30;9;21;43;9;1;1
26;36;1;16;30;9;3;1
3;34;39;15;12;4;6;1
41;7;48;27;8;6;1;1
21;41;12;2;49;3;7;1
49;34;25;3;5;8;5;1
23;5;20;34;50;1;5;1
8;50;16;4;14;9;3;1
17;5;33;22;10;7;5;1
46;1;22;20;37;1;9;1
34;35;26;16;49;6;2;1
13;12;29;50;44;4;5;1
50;3;45;20;31;7;6;1
17;47;28;33;35;4;9;1
50;44;5;45;32;7;1;1
1;33;21;45;49;4;8;1
5;44;10;8;3;3;5;1
18;19;1;47;11;7;3;1
4;23;38;24;26;4;2;1
5;38;6;48;50;6;7;1
30;39;9;21;50;3;1;1
9;21;15;40;49;4;1;1
45;31;20;22;21;9;7;1
37;7;44;28;9;7;6;1
8;30;36;25;44;4;3;1
48;43;4;2;32;1;7;1
38;20;12;19;30;9;7;1
22;2;48;29;10;9;3;1
